barcode,assemblylength,numberofcontigs,N50
SRR1965341_trimmed,4978417,173,147418
SRR1965341_untrimmed,4990793,315,147418
SRR1968189_trimmed,4961491,191,100502
SRR1968189_untrimmed,4971042,313,93075.0
SRR2075991_trimmed,5287989,185,142689
SRR2075991_untrimmed,5287584,184,142689.0
SRR5584993_trimmed,5165384,275,110752.0
SRR5584993_untrimmed,5165408,275,110752.0
SRR7828287_trimmed,4972666,193,156381.0
SRR7828287_untrimmed,4972943,194,156381
SRR8902592,5984934,148,4870332.0
